Incident Number,Time in Alarm DateTime,Incident Date,Total Time Dispatch Notified to Last Unit Cleared(seconds),Incident Type Code,Incident Type,Location Street Address,Latitude,Longitude,Location ZIP
22-0038313,10/11/2022 22:27,10/11/2022,2690,131,Passenger vehicle fire,4311 South BOWEN Road,0,0,76015
22-0038329,10/12/2022 1:35,10/12/2022,11073,111,Building fire,6001 TEAM Court,0,0,76018
22-0038345,10/12/2022 5:37,10/12/2022,19791,111,Building fire,1808 South BOWEN Road,0,0,76013
22-0038402,10/12/2022 13:56,10/12/2022,2159,113,"Cooking fire, confined to container",509 JURASSIC Court,0,0,76002
22-0038414,10/12/2022 15:15,10/12/2022,1348,113,"Cooking fire, confined to container",2224 RIDGE RUN Road,0,0,76014
22-0038457,10/12/2022 18:21,10/12/2022,7863,111,Building fire,4710 ARTESIA Court,0,0,76016
22-0038460,10/12/2022 20:14,10/12/2022,1563,131,Passenger vehicle fire,1501 East I20 FWY EB,0,0,76018
22-0038543,10/13/2022 12:28,10/13/2022,1128,151,"Outside rubbish, trash or waste fire",910 STEPHIE ANN Court,0,0,76002
22-0038600,10/13/2022 21:08,10/13/2022,1476,118,"Trash or rubbish fire, contained",4028 MELODY POND Way,0,0,76155
22-0038619,10/13/2022 22:21,10/13/2022,5167,142,Brush or brush-and-grass mixture fire,1400 North WEBB FERRELL Road,0,0,76002
22-0038630,10/14/2022 4:12,10/14/2022,4571,111,Building fire,2312 FAIR OAKS Drive,0,0,76011
22-0038651,10/14/2022 7:45,10/14/2022,4429,111,Building fire,1400 West LAMAR BLV,0,0,76012
22-0038715,10/14/2022 17:02,10/14/2022,2371,143,Grass fire,710 LOMBARDY Lane,0,0,76013
22-0038742,10/14/2022 20:45,10/14/2022,933,113,"Cooking fire, confined to container",2620 AUTUMN TRAIL Drive,0,0,76016
22-0038755,10/14/2022 21:28,10/14/2022,3589,131,Passenger vehicle fire,1007 West I20 Freeway,0,0,76017
22-0038796,10/15/2022 5:04,10/15/2022,4646,131,Passenger vehicle fire,1500 East I20 Highway,0,0,76018
22-0038805,10/15/2022 8:05,10/15/2022,1589,142,Brush or brush-and-grass mixture fire,2908 East PIONEER PWY,0,0,76010
22-0038807,10/15/2022 9:03,10/15/2022,3122,111,Building fire,3808 TRACE MILLS Drive,0,0,76014
22-0038827,10/15/2022 12:06,10/15/2022,3805,131,Passenger vehicle fire,SH 360 SB EXIT MAYFIELD RMP,0,0,76014
22-0038832,10/15/2022 13:23,10/15/2022,2136,143,Grass fire,6803 SHORE BREEZE Court,0,0,76016
22-0038926,10/16/2022 0:39,10/16/2022,6604,142,Brush or brush-and-grass mixture fire,710 LOMBARDY Lane,0,0,76013
22-0038966,10/16/2022 9:20,10/16/2022,2548,131,Passenger vehicle fire,I30 EB ENTER FIELDER RMP,0,0,76012
22-0038969,10/16/2022 9:47,10/16/2022,2382,112,Fires in structure other than in a building,411 GREEN OAKS Court,0,0,76006
22-0039017,10/16/2022 16:22,10/16/2022,1767,113,"Cooking fire, confined to container",820 SHADY POINT Drive,0,0,76013
22-0039043,10/16/2022 21:44,10/16/2022,858,142,Brush or brush-and-grass mixture fire,900 East RANDOL MILL Road,0,0,76011
22-0039136,10/17/2022 15:18,10/17/2022,1804,113,"Cooking fire, confined to container",2700 BUENA VISTA Drive,0,0,76010
22-0039167,10/17/2022 18:07,10/17/2022,1716,113,"Cooking fire, confined to container",6103 HEATHERGLEN Drive,0,0,76017
22-0039180,10/17/2022 18:03,10/17/2022,12625,111,Building fire,805 LINDA VISTA Avenue,0,0,76013
22-0039248,10/18/2022 12:40,10/18/2022,1240,113,"Cooking fire, confined to container",404 TRUMAN Street,0,0,76011
22-0039358,10/19/2022 10:04,10/19/2022,1218,113,"Cooking fire, confined to container",808 VAIL Drive,0,0,76012
22-0039361,10/19/2022 10:35,10/19/2022,2042,130,"Mobile property (vehicle) fire, other",1315 North COLLINS Street,0,0,76011
22-0039424,10/19/2022 18:36,10/19/2022,2855,111,Building fire,6204 BARCELONA Drive,0,0,76016
22-0039446,10/19/2022 21:01,10/19/2022,931,113,"Cooking fire, confined to container",2220 PRESIDENTS CORNER Drive,0,0,76011
22-0039452,10/19/2022 21:29,10/19/2022,1091,111,Building fire,2150 East LAMAR BLV,0,0,76006
22-0039469,10/20/2022 0:01,10/20/2022,3750,131,Passenger vehicle fire,4211 PLEASANTVIEW Drive,0,0,76016
22-0039499,10/20/2022 9:00,10/20/2022,4442,113,"Cooking fire, confined to container",4920 South COOPER Street,0,0,76017
22-0039540,10/20/2022 15:01,10/20/2022,2619,143,Grass fire,1892 SHERRY Street,0,0,76010
22-0039626,10/21/2022 8:49,10/21/2022,2752,151,"Outside rubbish, trash or waste fire",1301 Northeast GREEN OAKS BLV,0,0,76006
22-0039635,10/21/2022 9:55,10/21/2022,3454,140,"Natural vegetation fire, other",6100 HUDSONWOOD Drive,0,0,76001
22-0039690,10/21/2022 16:02,10/21/2022,3160,131,Passenger vehicle fire,I20 EB TO SH 360 SB RMP,0,0,76018
22-0039706,10/21/2022 19:09,10/21/2022,5722,111,Building fire,5627 HEARTHWOOD Court,0,0,76016
22-0039712,10/21/2022 20:29,10/21/2022,733,113,"Cooking fire, confined to container",400 West PARK ROW Drive,0,0,76010
22-0039720,10/21/2022 20:59,10/21/2022,3176,131,Passenger vehicle fire,SH 360 SB EXIT MAYFIELD RMP,0,0,76014
22-0039724,10/21/2022 21:46,10/21/2022,953,154,Dumpster or other outside trash receptacle fire,1701 West Randol Mill Road,0,0,76012
22-0039802,10/22/2022 13:57,10/22/2022,1733,118,"Trash or rubbish fire, contained",1010 East ARKANSAS Lane,0,0,76010
22-0039811,10/22/2022 15:34,10/22/2022,1274,150,"Outside rubbish fire, other",3703 SHADY VALLEY Drive,0,0,76013
22-0039815,10/22/2022 16:08,10/22/2022,963,140,"Natural vegetation fire, other",1201 ACADEMY Drive,0,0,76013
22-0039821,10/22/2022 14:50,10/22/2022,11146,161,Outside storage fire,7701 MANSFIELD CARDINAL Road,0,0,76060
22-0039870,10/23/2022 0:15,10/23/2022,2525,112,Fires in structure other than in a building,509 SUNLIGHT Court,0,0,76006
22-0039893,10/23/2022 7:59,10/23/2022,764,140,"Natural vegetation fire, other",1001 UTA BLV,0,0,76013
22-0039896,10/23/2022 8:48,10/23/2022,1461,143,Grass fire,1801 East ARKANSAS Lane,0,0,76010
22-0039922,10/23/2022 12:33,10/23/2022,2460,131,Passenger vehicle fire,I30 EB ENTER FIELDER RMP,0,0,76012
22-0039927,10/23/2022 13:30,10/23/2022,1890,111,Building fire,2701 MEADOWVIEW Drive,0,0,76016
22-0039932,10/23/2022 13:44,10/23/2022,3004,151,"Outside rubbish, trash or waste fire",924 WINTERWOOD Court,0,0,76017
22-0039933,10/23/2022 14:07,10/23/2022,1895,143,Grass fire,2100 West SUBLETT Road,0,0,76017
22-0039943,10/23/2022 15:04,10/23/2022,848,118,"Trash or rubbish fire, contained",900 COWBOYS Way,0,0,76011
22-0039946,10/23/2022 14:44,10/23/2022,8034,111,Building fire,1006 PLEASANT VALLEY Lane,0,0,76015
22-0039954,10/23/2022 16:39,10/23/2022,2458,111,Building fire,2125 ROCKY BRANCH Drive,0,0,76013
22-0039959,10/23/2022 17:33,10/23/2022,933,154,Dumpster or other outside trash receptacle fire,919 TERRELL Circle,0,0,76011
22-0039976,10/23/2022 19:55,10/23/2022,1324,143,Grass fire,1301 CARLA Avenue,0,0,76014
22-0039984,10/23/2022 20:32,10/23/2022,1056,151,"Outside rubbish, trash or waste fire",6810 BLACKBERRY Drive,0,0,76016
22-0039992,10/23/2022 21:01,10/23/2022,2640,140,"Natural vegetation fire, other",610 West INWOOD Drive,0,0,76010
22-0040017,10/24/2022 3:37,10/24/2022,1075,152,Garbage dump or sanitary landfill fire,809 COTTONCREEK Drive,0,0,76011
22-0040041,10/24/2022 8:41,10/24/2022,567,150,"Outside rubbish fire, other",202 BROADMOOR Avenue,0,0,76010
22-0040283,10/25/2022 21:39,10/25/2022,870,131,Passenger vehicle fire,1000 Gibbins Road,0,0,76011
22-0040341,10/26/2022 10:44,10/26/2022,2720,130,"Mobile property (vehicle) fire, other",4100 NEW YORK Avenue,0,0,76017
22-0040399,10/26/2022 19:23,10/26/2022,1184,112,Fires in structure other than in a building,3403 East ABRAM Street,0,0,76010
22-0040434,10/27/2022 3:22,10/27/2022,6929,162,Outside equipment fire,705 East PIONEER PWY,0,0,76010
22-0040436,10/27/2022 5:48,10/27/2022,1019,113,"Cooking fire, confined to container",4400 TERRAVIEW Drive,0,0,76017
22-0040489,10/27/2022 16:18,10/27/2022,1244,113,"Cooking fire, confined to container",1505 RUNNING BROOK Drive,0,0,76010
22-0040514,10/27/2022 19:26,10/27/2022,878,143,Grass fire,1010 ANDREWS Street,0,0,76011
22-0040524,10/27/2022 21:18,10/27/2022,766,151,"Outside rubbish, trash or waste fire",1914 WINDSOR PLACE Court,0,0,76015
22-0040622,10/28/2022 13:17,10/28/2022,4937,151,"Outside rubbish, trash or waste fire",6401 JOPLIN Road,0,0,76060
22-0040737,10/29/2022 9:38,10/29/2022,5583,112,Fires in structure other than in a building,2827 BUFFALO Court,0,0,76013
22-0040760,10/29/2022 13:36,10/29/2022,1093,118,"Trash or rubbish fire, contained",2208 LINCOLN GREEN Circle,0,0,76011
22-0040765,10/29/2022 13:29,10/29/2022,4554,111,Building fire,2320 SUNFLOWER Drive,0,0,76014
22-0040807,10/29/2022 20:23,10/29/2022,1000,154,Dumpster or other outside trash receptacle fire,1112 East ABRAM Street,0,0,76010
22-0040846,10/30/2022 0:20,10/30/2022,3813,131,Passenger vehicle fire,1814 WICKERSHAM Drive,0,0,76014
22-0040921,10/30/2022 16:46,10/30/2022,984,131,Passenger vehicle fire,5722 CREEKHOLLOW Drive,0,0,76018
22-0040924,10/30/2022 17:20,10/30/2022,786,160,"Special outside fire, other",900 East RANDOL MILL Road,0,0,76011
22-0040942,10/30/2022 19:11,10/30/2022,2044,154,Dumpster or other outside trash receptacle fire,900 East RANDOL MILL Road,0,0,76011
22-0041199,11/1/2022 17:16,11/1/2022,1689,143,Grass fire,800 West NATHAN LOWE Road,32.633543,-97.124647,76017
22-0041311,11/2/2022 14:18,11/2/2022,2886,131,Passenger vehicle fire,2507 JOANNA Court,32.738844,-97.101253,76014
22-0041354,11/2/2022 18:58,11/2/2022,724,151,"Outside rubbish, trash or waste fire",7606 ALBANY Lane,32.633611,-97.124842,76001
22-0041365,11/2/2022 19:32,11/2/2022,3224,113,"Cooking fire, confined to container",1306 WISCASSET Drive,32.716147,-97.071277,76010
22-0041414,11/3/2022 7:28,11/3/2022,8024,111,Building fire,830 Bonnett Trail,32.737674,-97.14574,76017
22-0041445,11/3/2022 10:20,11/3/2022,3402,130,"Mobile property (vehicle) fire, other",915 East RANDOL MILL Road,32.766089,-97.100007,76011
22-0041502,11/3/2022 18:57,11/3/2022,1377,154,Dumpster or other outside trash receptacle fire,930 BENGE Drive,32.73718,-97.121837,76013
22-0041508,11/3/2022 19:00,11/3/2022,3555,151,"Outside rubbish, trash or waste fire",2405 SPANISH Circle,0,0,76016
22-0041582,11/4/2022 11:15,11/4/2022,1806,111,Building fire,2419 WIMBLEDON Drive,32.685023,-97.145865,76017
22-0041590,11/4/2022 12:17,11/4/2022,810,113,"Cooking fire, confined to container",1407 TIMBERLAKE Drive,32.70229,-97.09754,76010
22-0041735,11/5/2022 12:18,11/5/2022,1380,131,Passenger vehicle fire,5321 West SUBLETT Road,32.630652,-97.173401,76001
22-0042017,11/7/2022 14:51,11/7/2022,1020,130,"Mobile property (vehicle) fire, other",MATLOCK Road,32.633543,-97.124647,76017
22-0042026,11/7/2022 15:47,11/7/2022,1192,151,"Outside rubbish, trash or waste fire",4402 GREEN ACRES Court,32.630652,-97.173401,76017
22-0042146,11/8/2022 17:02,11/8/2022,3598,131,Passenger vehicle fire,West I30 Freeway,32.76648,-97.099962,76012
22-0042233,11/9/2022 12:30,11/9/2022,1723,130,"Mobile property (vehicle) fire, other",3502 CHATHAM GREEN Lane,32.663243,-97.134494,76014
22-0042273,11/9/2022 15:34,11/9/2022,5307,131,Passenger vehicle fire,735 West SUBLETT Road,32.633543,-97.124647,76017
22-0042297,11/9/2022 20:11,11/9/2022,1462,113,"Cooking fire, confined to container",1215 North COOPER Street,32.714911,-97.132285,76012
22-0042314,11/9/2022 22:32,11/9/2022,748,154,Dumpster or other outside trash receptacle fire,121 East I20 Highway,32.663871,-97.120822,76014
22-0042407,11/10/2022 17:19,11/10/2022,851,151,"Outside rubbish, trash or waste fire",1111 East ABRAM Street,32.736921,-97.121814,76010
22-0042428,11/10/2022 18:11,11/10/2022,4233,131,Passenger vehicle fire,901 East I20 Freeway,32.675657,-97.175848,76017
22-0042445,11/10/2022 17:27,11/10/2022,21864,111,Building fire,614 East LYNN CREEK Drive,32.614319,-97.113246,76002
22-0042630,11/12/2022 12:01,11/12/2022,604,151,"Outside rubbish, trash or waste fire",901 East DIVISION Street,32.73718,-97.121837,76011
22-0042665,11/12/2022 16:24,11/12/2022,1155,151,"Outside rubbish, trash or waste fire",2110 HUNTINGTON Drive,32.716105,-97.071063,76010
22-0042679,11/12/2022 18:00,11/12/2022,820,151,"Outside rubbish, trash or waste fire",2120 HEDGEROW Street,32.716105,-97.071063,76010
22-0042709,11/12/2022 19:25,11/12/2022,6019,111,Building fire,755 POLK Drive,32.750613,-97.136253,76011
22-0042753,11/13/2022 6:27,11/13/2022,4588,131,Passenger vehicle fire,5700-BLK US 287 Freeway,32.683482,-97.192204,76017
22-0042787,11/13/2022 15:06,11/13/2022,1158,143,Grass fire,I20 EB ENTER GREEN OAKS RMP,32.629293,-97.17177,76017
22-0042821,11/13/2022 20:24,11/13/2022,2551,118,"Trash or rubbish fire, contained",2226 MADISON Drive,32.73702,-97.111459,76011
22-0042946,11/14/2022 16:09,11/14/2022,7153,111,Building fire,1911 BAYWOOD Lane,32.738483,-97.113675,76014
22-0042994,11/15/2022 1:37,11/15/2022,2999,111,Building fire,2401 FOREST BROOK Lane,32.73702,-97.111459,76006
22-0043083,11/15/2022 18:30,11/15/2022,808,140,"Natural vegetation fire, other",3103 CLEAR LAKE Court,32.659457,-97.160382,76017
22-0043152,11/16/2022 8:54,11/16/2022,2160,111,Building fire,336 FORT EDWARD Drive,32.663871,-97.120822,76002
22-0043174,11/16/2022 12:09,11/16/2022,4135,111,Building fire,6601 ANEMONE Court,32.615582,-97.123831,76002
22-0043307,11/17/2022 12:21,11/17/2022,1156,142,Brush or brush-and-grass mixture fire,1200 West NATHAN LOWE Road,32.674379,-97.149012,76017
22-0043322,11/17/2022 14:46,11/17/2022,442,151,"Outside rubbish, trash or waste fire",708 LAWNDALE Drive,32.672215,-97.135485,76017
22-0043421,11/18/2022 4:21,11/18/2022,4429,130,"Mobile property (vehicle) fire, other",5241 HUDSON CEMETERY Road,32.630652,-97.173401,76060
22-0043510,11/18/2022 19:26,11/18/2022,1419,114,"Chimney or flue fire, confined to chimney or flue",7006 PARK GREEN Drive,32.67649,-97.114145,76001
22-0043516,11/18/2022 20:28,11/18/2022,1817,142,Brush or brush-and-grass mixture fire,East PIONEER PWY,32.716105,-97.071063,76010
22-0043520,11/18/2022 20:57,11/18/2022,2498,131,Passenger vehicle fire,300 BARDIN GREENE Drive,32.663369,-97.120378,76018
22-0043594,11/19/2022 11:34,11/19/2022,7609,111,Building fire,2416 JEWELL Drive,32.71483,-97.13227,76016
22-0043625,11/19/2022 15:01,11/19/2022,6519,111,Building fire,806 HEADWATER Drive,32.684743,-97.11633,76015
22-0043635,11/19/2022 17:59,11/19/2022,1240,154,Dumpster or other outside trash receptacle fire,4928 SIGMOND Drive,32.683495,-97.192092,76017
22-0043667,11/19/2022 23:08,11/19/2022,1036,113,"Cooking fire, confined to container",1505 JANANN Avenue,32.714906,-97.132322,76014
22-0043683,11/20/2022 0:57,11/20/2022,4401,111,Building fire,1823 East PARK ROW Drive,32.714887,-97.132404,76010
22-0043730,11/20/2022 10:54,11/20/2022,1369,154,Dumpster or other outside trash receptacle fire,2715 GOLDEN CREEK Lane,32.766399,-97.099974,76006
22-0043734,11/20/2022 11:49,11/20/2022,1653,113,"Cooking fire, confined to container",2800 INDIAN CREEK Drive,32.716001,-97.071349,76010
22-0043775,11/20/2022 16:44,11/20/2022,539,151,"Outside rubbish, trash or waste fire",1404 North CENTER Street,32.769999,-97.107476,76011
22-0043779,11/20/2022 16:04,11/20/2022,4525,111,Building fire,2228 BRIGADOON Court,32.73702,-97.111459,76013
22-0043784,11/20/2022 17:07,11/20/2022,1999,154,Dumpster or other outside trash receptacle fire,2100 WILLOW POINT Drive,32.716105,-97.071063,76010
22-0043810,11/20/2022 22:11,11/20/2022,1471,131,Passenger vehicle fire,1920 North COLLINS Street,32.766089,-97.100007,76011
22-0043825,11/21/2022 3:01,11/21/2022,1953,154,Dumpster or other outside trash receptacle fire,2515 East ARKANSAS Lane,32.716105,-97.071063,76010
22-0043841,11/21/2022 8:33,11/21/2022,1480,154,Dumpster or other outside trash receptacle fire,302 West RANDOL MILL Road,32.766089,-97.100007,76011
22-0043857,11/21/2022 10:53,11/21/2022,936,151,"Outside rubbish, trash or waste fire",5605 Valley Meadow Drive,32.738788,-97.113289,76016
22-0043911,11/21/2022 17:58,11/21/2022,783,151,"Outside rubbish, trash or waste fire",2110 GLENHAVEN Street,32.716105,-97.071063,76010
22-0044060,11/22/2022 15:37,11/22/2022,3243,113,"Cooking fire, confined to container",3012 FRANCISCAN Drive,32.714794,-97.132292,76015
22-0044193,11/23/2022 18:35,11/23/2022,2174,118,"Trash or rubbish fire, contained",7109 CHAMBERS CREEK Lane,32.633627,-97.124836,76002
22-0044230,11/23/2022 23:32,11/23/2022,1360,131,Passenger vehicle fire,700 West DIVISION Street,32.738947,-97.123269,76012
22-0044270,11/24/2022 9:39,11/24/2022,2881,113,"Cooking fire, confined to container",1809 MARBLE Drive,32.720872,-97.066834,76013
22-0044329,11/24/2022 16:51,11/24/2022,1093,160,"Special outside fire, other",1203 East TIMBERVIEW Lane,32.716054,-97.071403,76014
22-0044416,11/25/2022 8:08,11/25/2022,13643,111,Building fire,208 BROADMOOR Avenue,32.723536,-97.116436,76010
22-0044427,11/25/2022 10:42,11/25/2022,5254,130,"Mobile property (vehicle) fire, other",2404 West PIONEER PWY,32.708997,-97.139794,76013
22-0044480,11/25/2022 22:19,11/25/2022,2026,113,"Cooking fire, confined to container",1650 East RANDOL MILL Road,32.7665,-97.100039,76011
22-0044488,11/25/2022 21:44,11/25/2022,9403,130,"Mobile property (vehicle) fire, other",2021 West ABRAM Street,32.750238,-97.135846,76013
22-0044572,11/26/2022 19:16,11/26/2022,1578,113,"Cooking fire, confined to container",1719 PARK VISTA Drive,32.714963,-97.132293,76012
22-0044688,11/27/2022 17:35,11/27/2022,1190,113,"Cooking fire, confined to container",1408 CHERRY Drive,32.735674,-97.110183,76013
22-0044701,11/27/2022 19:46,11/27/2022,1713,154,Dumpster or other outside trash receptacle fire,2608 BETTY Lane,32.772771,-97.071085,76006
22-0044826,11/28/2022 17:03,11/28/2022,1770,151,"Outside rubbish, trash or waste fire",1321 PARKWAY Court,32.679916,-97.09262,76010
22-0044828,11/28/2022 17:59,11/28/2022,418,154,Dumpster or other outside trash receptacle fire,2235 CARTER Drive,32.716105,-97.071063,76010
22-0045002,11/29/2022 20:21,11/29/2022,1698,153,Construction or demolition landfill fire,5204 CHAPERITO Trail,32.73702,-97.111459,76016
22-0045180,12/1/2022 0:30,12/1/2022,4949,111,Building fire,6705 CRESTFIELD Drive,32.644948,-97.115363,76016
22-0045198,12/1/2022 5:22,12/1/2022,1414,132,Road freight or transport vehicle fire,2909 East ABRAM Street,32.749269,-97.054798,76010
22-0045276,12/1/2022 17:10,12/1/2022,3574,113,"Cooking fire, confined to container",8205 LA FRONTERA Trail,32.633657,-97.124813,76002
22-0045345,12/2/2022 8:25,12/2/2022,1373,142,Brush or brush-and-grass mixture fire,3702 LINDSEY Court,32.663871,-97.120822,76015
22-0045663,12/4/2022 16:59,12/4/2022,212,154,Dumpster or other outside trash receptacle fire,900 COWBOYS Way,0,0,76011
22-0045691,12/4/2022 19:01,12/4/2022,6807,111,Building fire,218 West DIVISION Street,32.750442,-97.136243,76011
22-0045815,12/5/2022 15:26,12/5/2022,1698,151,"Outside rubbish, trash or waste fire",602 LILLARD Road,32.663877,-97.120761,76012
22-0045854,12/5/2022 21:25,12/5/2022,3042,113,"Cooking fire, confined to container",1800 West PARK ROW Drive,32.73702,-97.111459,76013
22-0045886,12/6/2022 6:37,12/6/2022,3993,114,"Chimney or flue fire, confined to chimney or flue",2312 BALSAM Drive,32.716086,-97.07104,76006
22-0045950,12/6/2022 13:38,12/6/2022,3583,111,Building fire,2216 PRESTONWOOD Drive,32.748206,-97.122969,76012
22-0045952,12/6/2022 14:24,12/6/2022,2859,142,Brush or brush-and-grass mixture fire,612 SPRING MILLER Court,32.629811,-97.086092,76002
22-0045957,12/6/2022 16:02,12/6/2022,1501,154,Dumpster or other outside trash receptacle fire,1936 West DIVISION Street,32.712934,-97.189082,76012
22-0045961,12/6/2022 15:58,12/6/2022,3201,154,Dumpster or other outside trash receptacle fire,2230 South COOPER Street,32.71481,-97.132302,76010
22-0045962,12/6/2022 16:47,12/6/2022,1456,132,Road freight or transport vehicle fire,I20 EB TO SH 360 SB RMP,32.659735,-97.065643,76018
22-0046009,12/6/2022 23:43,12/6/2022,3044,154,Dumpster or other outside trash receptacle fire,5855 South COOPER Street,32.633543,-97.124647,76017
22-0046088,12/7/2022 14:03,12/7/2022,981,113,"Cooking fire, confined to container",6502 AIRES Drive,32.63369,-97.124865,76001
22-0046097,12/7/2022 14:26,12/7/2022,3132,111,Building fire,4901 SPENCER LAKES Drive,32.630827,-97.161817,76001
22-0046102,12/7/2022 15:09,12/7/2022,2842,111,Building fire,1331 TIMBERLAKE Drive,32.708347,-97.087527,76010
22-0046193,12/8/2022 10:47,12/8/2022,11031,111,Building fire,2502 SUMMER PLACE Drive,32.712111,-97.190666,76014
22-0046255,12/8/2022 16:34,12/8/2022,11184,111,Building fire,1908 MIMOSA Drive,32.743607,-97.135072,76012
22-0046422,12/9/2022 20:03,12/9/2022,914,154,Dumpster or other outside trash receptacle fire,1622 West RANDOL MILL Road,32.750442,-97.136243,76012
22-0046424,12/9/2022 20:17,12/9/2022,1460,114,"Chimney or flue fire, confined to chimney or flue",2402 SPRINGMONT Court,32.749439,-97.132542,76012
22-0046461,12/10/2022 5:43,12/10/2022,4624,143,Grass fire,5800 KELLY ELLIOTT Road,32.630652,-97.173401,76017
22-0046499,12/10/2022 11:53,12/10/2022,2288,113,"Cooking fire, confined to container",4330 WILLOW BEND Drive,32.683526,-97.194945,76017
22-0046509,12/10/2022 13:56,12/10/2022,954,151,"Outside rubbish, trash or waste fire",6504 SHEERWATER Road,32.663871,-97.120822,76002
22-0046558,12/10/2022 22:05,12/10/2022,1010,111,Building fire,814 DRUMMOND Drive,32.675284,-97.180823,76012
